"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USC00049219","VALLEJO, CA US","2025-01-23",,,,,"0.00",,,,"66","44","65",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-24",,,,,"0.00",,,,"65","40","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-25",,,,,"0.00",,,,"59","38","51",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-26",,,,,"0.00",,,,"62","43","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-27",,,,,"0.00",,,,"65","39","63",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-28",,,,,"0.00",,,,"63","39","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-29",,,,,"0.00",,,,"66","44","54",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-30",,,,,"0.00",,,,"54","40","51",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-31",,,,,"0.40",,,,"54","43","43",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-01",,,,,"0.68",,,,"58","43","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-02",,,,,"0.18",,,,"58","55","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-03",,,,,"0.08",,,,"59","53","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-04",,,,,"1.50",,,,"61","52","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-05",,,,,"0.48",,,,"58","37","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-06",,,,,"0.25",,,,"57","41","52",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-07",,,,,"0.24",,,,"60","44","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-08",,,,,"0.00",,,,"61","37","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-09",,,,,"0.00",,,,"60","37","54",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-10",,,,,"0.00",,,,"60","36","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-11",,,,,"0.00",,,,"59","37","48",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-12",,,,,"0.00",,,,"51","39","48",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-13",,,,,"1.52",,,,"57","45","54",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-14",,,,,"0.15",,,,"60","46","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-15",,,,,"0.00",,,,"62","40","61",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-16",,,,,"0.04",,,,"61","44","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-17",,,,,"0.00",,,,"62","45","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-18",,,,,"0.00",,,,"65","43","63",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-19",,,,,"0.00",,,,"64","47","63",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-20",,,,,"0.00",,,,"70","44","67",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-21",,,,,"0.00",,,,"67","45","66",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-22",,,,,"0.00",,,,"73","45","69",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-23",,,,,"0.00",,,,"69","50","62",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-24",,,,,"0.00",,,,"65","50","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-25",,,,,"0.00",,,,"70","47","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-26",,,,,"0.00",,,,"72","44","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-27",,,,,"0.00",,,,"68","47","66",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-02-28",,,,,"0.00",,,,"78","51","77",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-01",,,,,"0.00",,,,"77","47","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-02",,,,,"0.00",,,,"61","47","55",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-03",,,,,"0.00",,,,"63","40","61",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-04",,,,,"0.00",,,,"61","45","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-05",,,,,"0.00",,,,"58","48","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-06",,,,,"0.00",,,,"60","41","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-07",,,,,"0.00",,,,"71","40","70",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-08",,,,,"0.00",,,,"70","44","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-09",,,,,"0.00",,,,"68","42","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-10",,,,,"0.00",,,,"72","42","71",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-11",,,,,"0.00",,,,"71","45","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-12",,,,,"0.38",,,,"60","47","48",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-13",,,,,"0.34",,,,"57","41","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-14",,,,,"0.39",,,,"58","40","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-15",,,,,"0.00",,,,"61","47","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-16",,,,,"0.00",,,,"63","48","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-17",,,,,"0.26",,,,"60","47","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-18",,,,,"0.00",,,,"62","38","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-19",,,,,"0.00",,,,"61","41","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-20",,,,,"0.08",,,,"65","42","64",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-21",,,,,"0.00",,,,"66","42","62",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-22",,,,,"0.00",,,,"65","48","64",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-23",,,,,"0.00",,,,"75","47","73",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-24",,,,,"0.00",,,,"79","51","78",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-25",,,,,"0.00",,,,"84","57","82",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-26",,,,,"0.00",,,,"82","52","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-27",,,,,"0.05",,,,"62","52","61",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-28",,,,,"0.06",,,,"62","50","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-29",,,,,"0.00",,,,"63","42","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-30",,,,,"0.12",,,,"65","47","61",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-03-31",,,,,"0.15",,,,"61","50","55",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-01",,,,,"0.25",,,,"59","47","55",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-02",,,,,"0.01",,,,"63","40","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-03",,,,,"0.00",,,,"67","42","63",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-04",,,,,"0.00",,,,"75","44","72",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-05",,,,,"0.00",,,,"76","49","73",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-06",,,,,"0.00",,,,"73","49","69",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-07",,,,,"0.00",,,,"69","54","65",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-08",,,,,"0.00",,,,"71","48","70",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-09",,,,,"0.00",,,,"81","50","80",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-10",,,,,"0.00",,,,"80","50","72",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-11",,,,,"0.00",,,,"74","55","67",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-12",,,,,"0.00",,,,"71","45","69",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-13",,,,,"0.00",,,,"83","48","72",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-14",,,,,"0.00",,,,"80","50","75",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-15",,,,,"0.00",,,,,,,,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-16",,,,,"0.00",,,,"63","50","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-17",,,,,"0.00",,,,"66","50","65",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-18",,,,,"0.00",,,,"70","50","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-19",,,,,"0.00",,,,"68","49","64",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-20",,,,,"0.00",,,,"72","49","71",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-21",,,,,"0.00",,,,"80","49","79",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-22",,,,,"0.00",,,,"79","50","65",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-23",,,,,"0.00",,,,"69","48","62",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-24",,,,,"0.00",,,,"62","49","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-25",,,,,"0.00",,,,"62","49","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-26",,,,,"0.00",,,,"64","45","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-27",,,,,"0.00",,,,"70","50","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-28",,,,,"0.00",,,,"72","48","71",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-29",,,,,"0.00",,,,"80","49","78",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-04-30",,,,,"0.00",,,,"78","50","69",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-01",,,,,"0.00",,,,"69","51","64",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-02",,,,,"0.00",,,,"69","49","67",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-03",,,,,"0.00",,,,"68","51","66",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-04",,,,,"0.00",,,,"74","47","73",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-05",,,,,"0.00",,,,"88","57","87",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-06",,,,,"0.00",,,,"87","54","70",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-07",,,,,"0.00",,,,"70","53","66",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-08",,,,,"0.00",,,,"83","49","81",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-09",,,,,"0.00",,,,"91","51","90",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-10",,,,,"0.00",,,,"90","52","80",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-11",,,,,"0.00",,,,"80","53","65",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-12",,,,,"0.05",,,,"65","51","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-13",,,,,"0.00",,,,"71","48","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-14",,,,,"0.00",,,,"75","51","73",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-15",,,,,"0.00",,,,"79","51","78",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-16",,,,,"0.00",,,,"79","52","73",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-17",,,,,"0.00",,,,"73","52","66",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-18",,,,,"0.00",,,,"77","51","76",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-19",,,,,"0.00",,,,"82","53","77",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-20",,,,,"0.00",,,,"80","55","76",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-21",,,,,"0.00",,,,"84","52","82",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-22",,,,,"0.00",,,,"82","52","71",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-23",,,,,"0.00",,,,"75","49","73",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-24",,,,,"0.00",,,,"74","49","70",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-25",,,,,"0.00",,,,"70","51","66",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-26",,,,,"0.00",,,,"71","54","69",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-27",,,,,"0.00",,,,"81","52","78",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-28",,,,,"0.00",,,,"78","52","70",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-29",,,,,"0.00",,,,"80","53","80",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-30",,,,,"0.00",,,,"96","54","94",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-05-31",,,,,"0.00",,,,"94","55","89",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-06-01",,,,,"0.00",,,,"89","53","67",,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-04",,"    8","0.48",,,,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-05",,,,,"0.00",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-06",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-07",,,,,"0.02",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-08",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-09",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-10",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-11",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-12",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-13",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-14",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-15",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-16",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-17",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-18",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-19",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-20",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-23",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-24",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-25",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-26",,,,,"0.02",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-27",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-28",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-30",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-01-31",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-01",,,,,"0.17",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-02",,,,,"0.15",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-03",,,,,"0.11",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-04",,,,,"0.85",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-05",,,,,"0.67",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-06",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-07",,,,,"0.69",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-08",,,,,"0.14",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-09",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-10",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-11",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-12",,,,,"0.12",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-13",,,,,"1.57",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-14",,,,,"0.31",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-15",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-16",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-17",,,,,"0.03",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-18",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-19",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-20",,,,,"0.09",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-21",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-22",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-23",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-24",,,,,"0.04",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-25",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-26",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-27",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-02-28",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-01",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-02",,,,,"0.06",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-03",,,,,"0.02",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-04",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-05",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-06",,,,,"0.07",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-07",,,,,"0.11",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-08",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-09",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-10",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-11",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-12",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-13",,,,,"0.91",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-14",,,,,"0.59",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-15",,,,,"0.11",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-16",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-17",,,,,"0.29",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-18",,,,,"0.12",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-19",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-20",,,,,"0.06",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-21",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-22",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-23",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-24",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-25",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-26",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-27",,,,,"0.11",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-28",,,,,"0.15",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-29",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-30",,,,,"0.02",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-03-31",,,,,"0.05",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-01",,,,,"0.39",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-02",,,,,"0.03",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-03",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-04",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-05",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-06",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-07",,,,,"0.06",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-08",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-09",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-10",,,,,"0.00",,,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-12",,,,,"0.00","0.0",,,,,,,,,,,,,
"US1CASM0019","HALF MOON BAY 1.0 S, CA US","2025-04-13",,,,,"0.00","0.0",,,,,,,,,,,,,
